Unnamed: 0,SizeRank,RegionName,StateName,State,City,Metro,CountyName,Percent Change,ZHVF 1-Year Forecast (%),Mean Income,luxury_business_count
1093,1151,92122,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,-0.4641141012691021,4.1,71245.09090909091,0
1094,1152,32608,FL,FL,Gainesville,"Gainesville, FL",Alachua County,3.6977981474465778,4.0,38540.181818181816,0
1095,1153,19144,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,0.5081251169537395,2.7,34002.818181818184,1
1096,1154,90065,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,3.4288329850520376,2.3,69833.27272727272,0
1097,1155,75044,TX,TX,Garland,"Dallas-Fort Worth-Arlington, TX",Dallas County,-1.9993524275744976,3.9,59334.181818181816,0
1099,1157,74133,OK,OK,Tulsa,"Tulsa, OK",Tulsa County,2.264468195688472,3.8,49348.90909090909,0
1100,1158,83440,ID,ID,Rexburg,"Rexburg, ID",Madison County,2.331091616102994,4.8,31126.18181818182,0
1101,1159,30157,GA,GA,Dallas,"Atlanta-Sandy Springs-Alpharetta, GA",Paulding County,2.199880942185232,5.4,44451.0,0
1106,1164,35758,AL,AL,Madison,"Huntsville, AL",Madison County,-0.5864203917955295,4.2,63580.63636363636,0
1108,1166,63303,MO,MO,Saint Charles,"St. Louis, MO-IL",Saint Charles County,3.885356175429734,3.0,60829.27272727273,1
1109,1167,92692,CA,CA,Mission Viejo,"Los Angeles-Long Beach-Anaheim, CA",Orange County,2.4453723473672766,3.8,74092.63636363637,0
1110,1168,94605,CA,CA,Oakland,"San Francisco-Oakland-Berkeley, CA",Alameda County,2.6472808364750677,-0.2,66035.54545454546,0
1111,1169,6457,CT,CT,Middletown,"Hartford-East Hartford-Middletown, CT",Middlesex County,13.19512602549752,5.4,55626.63636363636,0
1112,1171,33617,FL,FL,Temple Terrace,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,2.2213817352720886,6.1,35720.63636363636,4
1114,1173,85296,AZ,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",Maricopa County,0.2142136624888282,5.4,67554.72727272728,0
1115,1173,77338,TX,TX,Humble,"Houston-The Woodlands-Sugar Land, TX",Harris County,11.809070502871204,2.5,44137.72727272727,0
1116,1175,10465,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,1.6956820140155533,1.2,51877.0,0
1117,1176,96822,HI,HI,Honolulu,"Urban Honolulu, HI",Honolulu County,2.879415450685881,0.5,60113.0,0
1118,1177,27604,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,3.6401220588220817,4.9,55246.90909090909,0
1120,1180,36830,AL,AL,Auburn,"Auburn-Opelika, AL",Lee County,4.671511505285995,3.0,38419.63636363636,0
1122,1182,8021,NJ,NJ,Lindenwold,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,0.7391613356107875,4.8,39383.545454545456,3
1123,1183,33614,FL,FL,Egypt Lake-Leto,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,-1.3307662286010522,6.1,36118.27272727273,0
1124,1185,30032,GA,GA,Decatur,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,1.7009040680981486,5.6,39926.545454545456,0
1125,1186,97123,OR,OR,Hillsboro,"Portland-Vancouver-Hillsboro, OR-WA",Washington County,0.7797437928806242,2.3,58700.181818181816,0
1127,1189,98133,WA,WA,Shoreline,"Seattle-Tacoma-Bellevue, WA",King County,0.7252754398426476,3.3,52613.181818181816,0
1128,1190,32738,FL,FL,Deltona,"Deltona-Daytona Beach-Ormond Beach, FL",Volusia County,1.345924908298687,4.8,44286.36363636364,0
1129,1191,90057,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2.6685545685326804,1.2,35141.27272727273,0
1130,1192,85224,AZ,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",Maricopa County,-0.6015551614137888,5.2,60566.0,0
1131,1193,93036,CA,CA,Oxnard,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,0.9996491921278056,2.4,65071.81818181818,0
1132,1194,75093,TX,TX,Plano,"Dallas-Fort Worth-Arlington, TX",Collin County,-1.1674921349210023,3.7,80915.27272727272,0
1133,1195,85212,AZ,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",Maricopa County,-1.0346636715803956,5.2,60556.27272727273,0
1134,1196,27106,NC,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,4.700631606735496,5.4,44463.90909090909,0
1135,1197,21043,MD,MD,Ellicott City,"Baltimore-Columbia-Towson, MD",Howard County,3.7230764248477786,1.5,81224.18181818182,0
1136,1198,94303,CA,CA,East Palo Alto,"San Francisco-Oakland-Berkeley, CA",San Mateo County,4.961988692424856,-0.6,88819.09090909091,0
1138,1200,75023,TX,TX,Plano,"Dallas-Fort Worth-Arlington, TX",Collin County,-4.096767357776124,3.5,62454.81818181818,0
1139,1201,29229,SC,SC,Columbia,"Columbia, SC",Richland County,4.339374180750215,4.0,50560.545454545456,0
1140,1203,65202,MO,MO,Columbia,"Columbia, MO",Boone County,12.01293751912409,3.4,41671.63636363636,0
1141,1204,45238,OH,OH,Cincinnati,"Cincinnati, OH-KY-IN",Hamilton County,0.9418592936550612,5.5,37903.36363636364,0
1142,1205,8053,NJ,NJ,Evesham Township,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington County,4.451585131865052,4.1,66533.09090909091,14
1143,1206,77081,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,-0.7587334659124001,2.2,40088.81818181818,0
1145,1209,95678,CA,CA,Roseville,"Sacramento-Roseville-Folsom, CA",Placer County,0.6935386205185667,2.0,55821.09090909091,0
1147,1211,7960,NJ,NJ,Morristown,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,4.383893858312215,1.7,101959.27272727272,0
1148,1211,95822,CA,CA,Sacramento,"Sacramento-Roseville-Folsom, CA",Sacramento County,-1.1013469893075385,2.1,47398.181818181816,0
1149,1213,90033,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,3.867547060406325,1.8,31608.727272727272,0
1150,1215,47201,IN,IN,Columbus,"Columbus, IN",Bartholomew County,5.96439839529563,4.3,49987.09090909091,0
1151,1216,98223,WA,WA,Arlington,"Seattle-Tacoma-Bellevue, WA",Snohomish County,4.010441875419132,3.4,52877.72727272727,0
1152,1217,98501,WA,WA,Olympia,"Olympia-Lacey-Tumwater, WA",Thurston County,2.4399534581675724,4.2,51511.09090909091,0
1154,1219,95610,CA,CA,Citrus Heights,"Sacramento-Roseville-Folsom, CA",Sacramento County,-0.291584736457106,2.3,51568.545454545456,0
1155,1220,92069,CA,CA,San Marcos,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,5.644552259288255,4.0,51476.81818181818,0
1156,1221,63368,MO,MO,O Fallon,"St. Louis, MO-IL",Saint Charles County,4.277288400870143,2.8,58542.63636363636,0
1158,1223,85719,AZ,AZ,Tucson,"Tucson, AZ",Pima County,1.6766934670901426,4.8,33389.545454545456,17
1159,1224,85138,AZ,AZ,Maricopa,"Phoenix-Mesa-Chandler, AZ",Pinal County,0.950368572511442,5.5,59745.36363636364,0
1160,1225,92395,CA,CA,Victorville,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,0.022878771628364,5.3,39386.36363636364,0
1161,1227,89436,NV,NV,Sparks,"Reno, NV",Washoe County,-3.2179222528526505,2.2,64164.545454545456,3
1163,1229,32725,FL,FL,Deltona,"Deltona-Daytona Beach-Ormond Beach, FL",Volusia County,3.111936211548877,4.8,37965.09090909091,0
1164,1230,75165,TX,TX,Waxahachie,"Dallas-Fort Worth-Arlington, TX",Ellis County,2.804068334119444,3.5,47456.90909090909,0
1165,1231,27215,NC,NC,Burlington,"Burlington, NC",Alamance County,2.344294091766307,6.0,38791.454545454544,0
1167,1234,73072,OK,OK,Norman,"Oklahoma City, OK",Cleveland County,4.924776303140489,3.5,47679.63636363636,0
1169,1236,78258,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,2.414393753683904,3.1,70112.54545454546,0
1170,1237,29607,SC,SC,Greenville,"Greenville-Anderson, SC",Greenville County,-0.1951176655027832,4.3,49308.27272727273,0
1171,1238,80123,CO,CO,Denver,"Denver-Aurora-Lakewood, CO",Denver County,3.3349636736909565,3.0,62038.90909090909,0
1172,1239,22903,VA,VA,Charlottesville,"Charlottesville, VA",Albemarle County,5.5897269724806735,3.2,51747.09090909091,0
1173,1240,93635,CA,CA,Los Banos,"Merced, CA",Merced County,0.9045757843569446,3.6,43560.27272727273,0
1174,1241,33179,FL,FL,Ives Estates,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,1.92467970617062,5.3,38976.90909090909,0
1175,1242,85281,AZ,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",Maricopa County,-1.7069494027163894,4.7,41688.63636363636,0
1176,1243,90027,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2.0051229524227496,2.0,69907.45454545454,0
1177,1244,92821,CA,CA,Brea,"Los Angeles-Long Beach-Anaheim, CA",Orange County,-0.8101798476888435,3.4,65774.18181818182,0
1179,1245,33162,FL,FL,North Miami Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,4.177740414829161,6.7,33845.90909090909,0
1180,1247,35215,AL,AL,Center Point,"Birmingham-Hoover, AL",Jefferson County,6.553122722174734,4.2,35963.818181818184,0
1182,1249,98226,WA,WA,Bellingham,"Bellingham, WA",Whatcom County,7.348478035601187,4.5,46967.36363636364,0
1183,1250,19145,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,5.552923515262392,3.4,41779.90909090909,2
1186,1253,34743,FL,FL,Kissimmee,"Orlando-Kissimmee-Sanford, FL",Osceola County,5.499014153795273,4.9,38970.0,0
1187,1254,30132,GA,GA,Dallas,"Atlanta-Sandy Springs-Alpharetta, GA",Paulding County,1.9075681347218048,4.9,44449.81818181818,0
1188,1257,75028,TX,TX,Flower Mound,"Dallas-Fort Worth-Arlington, TX",Denton County,0.4926645536830982,3.8,76656.18181818182,0
1190,1259,28213,NC,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,3.3878455912033703,5.6,42004.545454545456,0
1191,1260,65201,MO,MO,Columbia,"Columbia, MO",Boone County,5.0783293542656205,3.3,32886.63636363636,0
1192,1261,91790,CA,CA,West Covina,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2.912980472791342,2.9,56491.81818181818,0
1193,1262,20910,MD,MD,Silver Spring,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County,1.9798882909190816,1.0,75754.0,0
1194,1263,84062,UT,UT,Pleasant Grove,"Provo-Orem, UT",Utah County,6.630654420541263,4.2,50018.90909090909,0
1195,1264,48235,MI,MI,Detroit,"Detroit-Warren-Dearborn, MI",Wayne County,10.01911823516535,2.9,29764.636363636364,0
1196,1265,2703,MA,MA,Attleboro,"Providence-Warwick, RI-MA",Bristol County,6.489732714385385,5.2,53758.36363636364,0
1198,1267,92648,CA,CA,Huntington Beach,"Los Angeles-Long Beach-Anaheim, CA",Orange County,3.671027415440505,3.2,80211.81818181818,0
1200,1269,33461,FL,FL,Palm Springs,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,6.736915239719522,5.7,35179.36363636364,0
1201,1270,8817,NJ,NJ,Edison,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,12.415800914752792,1.7,64354.90909090909,0
