,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,Percent Change
4980,81428,5935,53713,zip,WI,WI,Madison,"Madison, WI",Dane County,14.635313932127378
4981,99580,5937,98121,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,-2.0587880979303113
4982,96050,5941,90069,zip,CA,CA,West Hollywood,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,4.715429112989731
4985,72598,5943,33432,zip,FL,FL,Boca Raton,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,4.10283650026346
4986,85929,5945,63111,zip,MO,MO,Saint Louis,"St. Louis, MO-IL",Saint Louis City,5.6544753219752835
4988,86367,5950,64130,zip,MO,MO,Kansas City,"Kansas City, MO-KS",Jackson County,6.5496157086998865
4989,88040,5951,68510,zip,NE,NE,Lincoln,"Lincoln, NE",Lancaster County,3.4736504525320795
4992,76571,5953,43202,zip,OH,OH,Columbus,"Columbus, OH",Franklin County,6.011917044809055
4993,97837,5956,94703,zip,CA,CA,Berkeley,"San Francisco-Oakland-Berkeley, CA",Alameda County,1.7574742901010478
4994,99528,5958,98043,zip,WA,WA,Mountlake Terrace,"Seattle-Tacoma-Bellevue, WA",Snohomish County,0.5330517416361449
4996,88623,5961,70471,zip,LA,LA,Mandeville,"New Orleans-Metairie, LA",Saint Tammany Parish,-2.0947227976759373
4997,96648,5962,92106,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,7.460082384207959
4998,74234,5963,37203,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,-1.5774713456718215
5006,69333,5977,27403,zip,NC,NC,Greensboro,"Greensboro-High Point, NC",Guilford County,7.372935775074393
5011,63936,5986,15205,zip,PA,PA,Crafton,"Pittsburgh, PA",Allegheny County,1.165034433291282
5014,89443,5990,72205,zip,AR,AR,Little Rock,"Little Rock-North Little Rock-Conway, AR",Pulaski County,6.755426307437674
5016,82170,5993,55317,zip,MN,MN,Chanhassen,"Minneapolis-St. Paul-Bloomington, MN-WI",Carver County,4.81349998754792
5017,67752,5996,23508,zip,VA,VA,Norfolk,"Virginia Beach-Norfolk-Newport News, VA-NC",Norfolk City,5.044761667207908
5021,96215,6005,90715,zip,CA,CA,Lakewood,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,-1.748957607391154
5025,60124,6009,6067,zip,CT,CT,Rocky Hill,"Hartford-East Hartford-Middletown, CT",Hartford County,2.9535299891148235
5034,58654,6022,2140,zip,MA,MA,Cambridge,"Boston-Cambridge-Newton, MA-NH",Middlesex County,4.433046509869358
5038,78063,6028,46256,zip,IN,IN,Indianapolis,"Indianapolis-Carmel-Anderson, IN",Marion County,1.7583187170000858
5039,93371,6029,80403,zip,CO,CO,Golden,"Denver-Aurora-Lakewood, CO",Jefferson County,8.804251310494141
5046,95297,6038,87102,zip,NM,NM,Albuquerque,"Albuquerque, NM",Bernalillo County,5.555530049804366
5047,72892,6040,33897,zip,FL,FL,Davenport,"Lakeland-Winter Haven, FL",Polk County,9.688179225000985
5048,76575,6044,43206,zip,OH,OH,Columbus,"Columbus, OH",Franklin County,6.008051887583634
5049,89955,6047,73130,zip,OK,OK,Midwest City,"Oklahoma City, OK",Oklahoma County,7.863559177601307
5052,65915,6050,19422,zip,PA,PA,Blue Bell,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,6.899255866186059
5053,91894,6052,77384,zip,TX,TX,Conroe,"Houston-The Woodlands-Sugar Land, TX",Montgomery County,-5.05415078002145
5054,70796,6053,30009,zip,GA,GA,Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,0.9655287787793895
5055,91256,6054,76111,zip,TX,TX,Fort Worth,"Dallas-Fort Worth-Arlington, TX",Tarrant County,2.8200271951772473
5056,84439,6055,60194,zip,IL,IL,Schaumburg,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,4.927084519335366
5059,75904,6063,41071,zip,KY,KY,Newport,"Cincinnati, OH-KY-IN",Campbell County,4.769431543286245
5060,96289,6065,91101,zip,CA,CA,Pasadena,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,3.9871052050833944
5064,99768,6071,98383,zip,WA,WA,Silverdale,"Bremerton-Silverdale-Port Orchard, WA",Kitsap County,-4.698293650546077
5065,89959,6073,73135,zip,OK,OK,Oklahoma City,"Oklahoma City, OK",Oklahoma County,4.544219926688703
5067,78052,6075,46240,zip,IN,IN,Indianapolis,"Indianapolis-Carmel-Anderson, IN",Marion County,5.907536295705513
5068,72804,6077,33763,zip,FL,FL,Clearwater,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County,3.7968545354327374
5070,93300,6079,80224,zip,CO,CO,Denver,"Denver-Aurora-Lakewood, CO",Denver County,8.158177145706752
5072,73726,6081,36066,zip,AL,AL,Prattville,"Montgomery, AL",Autauga County,7.0688119711315505
5076,93289,6085,80212,zip,CO,CO,Denver,"Denver-Aurora-Lakewood, CO",Denver County,7.534042081273788
5081,92656,6091,78747,zip,TX,TX,Austin,"Austin-Round Rock-Georgetown, TX",Travis County,0.34119603283154787
5086,95842,6098,89146,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,-5.74124878959421
5087,60473,6099,6850,zip,CT,CT,Norwalk,"Bridgeport-Stamford-Norwalk, CT",Fairfield County,10.769739593168843
5089,67802,6103,23704,zip,VA,VA,Portsmouth,"Virginia Beach-Norfolk-Newport News, VA-NC",Portsmouth City,9.293970445360374
5098,94729,6116,85013,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,-0.014920513657176886
5104,79069,6129,48214,zip,MI,MI,Detroit,"Detroit-Warren-Dearborn, MI",Wayne County,4.82615363724161
5109,99681,6135,98275,zip,WA,WA,Mukilteo,"Seattle-Tacoma-Bellevue, WA",Snohomish County,-0.07138394273571394
5112,62287,6137,11937,zip,NY,NY,East Hampton,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,2.0888130364105546
5113,69678,6140,28036,zip,NC,NC,Davidson,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,8.304400701122747
5117,74184,6145,37127,zip,TN,TN,Murfreesboro,"Nashville-Davidson--Murfreesboro--Franklin, TN",Rutherford County,6.130115357033154
5118,75569,6147,40215,zip,KY,KY,Louisville,"Louisville/Jefferson County, KY-IN",Jefferson County,9.172949278677875
5121,63933,6151,15202,zip,PA,PA,Pittsburgh,"Pittsburgh, PA",Allegheny County,-0.8421248915546788
5123,79062,6155,48207,zip,MI,MI,Detroit,"Detroit-Warren-Dearborn, MI",Wayne County,0.1344209089991932
5133,58643,6174,2129,zip,MA,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,6.33199585472201
5137,72706,6181,33603,zip,FL,FL,Tampa,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,11.981632480711474
5141,96447,6186,91602,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,3.673202581762377
5142,89940,6187,73115,zip,OK,OK,Del City,"Oklahoma City, OK",Oklahoma County,8.234464336702095
5143,70237,6191,28805,zip,NC,NC,Asheville,"Asheville, NC",Buncombe County,-1.8413001049746156
5149,73075,6204,34275,zip,FL,FL,Nokomis,"North Port-Sarasota-Bradenton, FL",Sarasota County,-0.3864342913839735
5150,87506,6205,67211,zip,KS,KS,Wichita,"Wichita, KS",Sedgwick County,6.122367519583943
5153,94288,6212,83716,zip,ID,ID,Boise,"Boise City, ID",Ada County,-1.6893480450353593
5156,74247,6214,37216,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,5.5554654860067405
5164,73594,6237,35756,zip,AL,AL,Madison,"Huntsville, AL",Limestone County,4.716804830053971
5167,95053,6240,85715,zip,AZ,AZ,Tucson,"Tucson, AZ",Pima County,1.0552512203890851
5171,96109,6245,90254,zip,CA,CA,Hermosa Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,4.55475405099341
5175,93291,6249,80215,zip,CO,CO,Lakewood,"Denver-Aurora-Lakewood, CO",Jefferson County,5.431821209540556
5176,73177,6253,34691,zip,FL,FL,Holiday,"Tampa-St. Petersburg-Clearwater, FL",Pasco County,4.861244316243716
5178,74567,6256,37932,zip,TN,TN,Knoxville,"Knoxville, TN",Knox County,3.661789323723764
5179,96029,6258,90048,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,3.481571810063375
5180,63903,6260,15106,zip,PA,PA,Carnegie,"Pittsburgh, PA",Allegheny County,3.0002382057658425
5182,90318,6262,74135,zip,OK,OK,Tulsa,"Tulsa, OK",Tulsa County,12.400016344160198
5185,72053,6270,32541,zip,FL,FL,Destin,"Crestview-Fort Walton Beach-Destin, FL",Okaloosa County,-6.244268908123309
5187,91249,6273,76104,zip,TX,TX,Fort Worth,"Dallas-Fort Worth-Arlington, TX",Tarrant County,2.692574268396249
5189,85930,6274,63112,zip,MO,MO,Saint Louis,"St. Louis, MO-IL",Saint Louis City,7.430413769043033
5190,91265,6277,76120,zip,TX,TX,Fort Worth,"Dallas-Fort Worth-Arlington, TX",Tarrant County,5.572335217180548
5192,93294,6280,80218,zip,CO,CO,Denver,"Denver-Aurora-Lakewood, CO",Denver County,2.3257403915486345
5193,60544,6281,7029,zip,NJ,NJ,Harrison,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,0.5186934413353055
5195,61651,6286,10037,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,0.7476176221057247
5196,399569,6289,32081,zip,FL,FL,Ponte Vedra,"Jacksonville, FL",Saint Johns County,-3.9019963445864456
5203,72483,6298,33181,zip,FL,FL,North Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,1.8384247793772703
5205,93194,6301,80002,zip,CO,CO,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County,3.026931818610362
5212,72735,6315,33635,zip,FL,FL,Town 'n' Country,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,16.942240296774262
5216,95158,6325,86303,zip,AZ,AZ,Prescott,"Prescott Valley-Prescott, AZ",Yavapai County,3.463351746169586
5221,67639,6331,23294,zip,VA,VA,Henrico,"Richmond, VA",Henrico County,-3.6756231143534794
5222,97027,6334,92808,zip,CA,CA,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",Orange County,-1.8633925455508158
5223,97769,6335,94563,zip,CA,CA,Orinda,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,-2.1025951387841753
5231,94892,6351,85310,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,3.8795871261507395
5232,92558,6354,78620,zip,TX,TX,Dripping Springs,"Austin-Round Rock-Georgetown, TX",Hays County,-5.216222424685607
5236,94419,6363,84054,zip,UT,UT,North Salt Lake,"Ogden-Clearfield, UT",Davis County,0.4062561893923064
5240,65920,6368,19428,zip,PA,PA,Conshohocken,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,5.730806264139251
5242,96116,6372,90265,zip,CA,CA,Malibu,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,9.745637305500026
